Nombre,Algoritmos empleados.
submission_29_12_2,Gradient Boosting y ElasticNetCV.
Submission_29_12 4,XGBoost y LassoCV
Submission_30 12 1,XGBoost.
Submission_30 12 2,XGBoost y LassoCV
Submission_30 12 3,XGBoost y LassoCV
Submission_30_12 4,XGBoost y LassoCV
Submisision_30_12 5,XGBoost y LassoCV
Submission_30_12 6,XGBoost y LassoCV
Submission_30_12 7,XGBoost y LassoCV
Submission_30_12 8,XGBoost y Lasso
Submission_31_12 1,XGBoost y LassoCV
Submission_31_12 2,XGBoost y LassoCV
Submission_31_12 3,XGBoost y LassoCV
Submission_31_12 4,"XGBoost , LassoCV y ElasticNetCV."
Submission_31_12 5,"XGBoost , LassoCV y ElasticNetCV."
Submission_31_12 6,"XGBoost , LassoCV y ElasticNetCV."
