Nombre,Día,Hora,Posición,Score Kaggle,RMSLE training
submission_one,27/12/17,19:00:00,~1000,0.12539,0.092997
submission_x,27- 28/12,varias horas,~1000,0.13-0.15,0.1 – 0.078
submission_29_12_2,29/12/17,13:40:00,~1000,0.12566,0.092997
Submission_29_12 4,29/12/17,18:20:00,~1000,0.12576,0.078509
Submission_30 12 1,30/12/17,11:30:00,~1000,0.13142,0.050387
Submission_30 12 2,30/12/17,14:58:00,~650,0.12095,0.075196
Submission_30 12 3,30/12/17,14:59:00,~600,0.12070,0.073795
Submission_30_12 4,30/12/17,14:59:00,~580,0.11963,0.086440
Submisision_30_12 5,30/12/17,15:00:00,~580,0.12039,0.075087
Submission_30_12 6,30/12/17,15:00:00,~580,0.12149,0.073679
Submission_30_12 7,30/12/17,15:00:00,~580,0.12127,0.086382
Submission_30_12 8,30/12/17,15:02:00,~580,0.12127,0.088779
Submission_31_12 1,31/12/17,14:05:00,550,0.11948,0.083367
Submission_31_12 2,31/12/17,14:09:00,550,0.11992,0.082508
Submission_31_12 3,31/12/17,14:15:00,550,0.11977,0.085418
Submission_31_12 4,31/12/17,11:23:00,550,0.12028,0.080700
Submission_31_12 5,31/12/17,15:28:00,550,0.11983,0.080339
Submission_31_12 6,31/12/17,15:38:00,550,0.11994,0.078922
